epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6742.74,2.07537,4.0717,1.80283,0.62903,0.08261,0.05478,0.01826,2.24525,4.47499,2.03795,0.000276433,0.000276433,0.000276433
2,8317.25,2.07317,3.15559,1.77805,0.48311,0.13586,0.07558,0.02705,2.13941,3.63133,2.01227,0.000543128,0.000543128,0.000543128
3,9754.54,2.06591,2.86901,1.8084,0.47176,0.1135,0.07501,0.0255,2.20585,3.20914,2.03592,0.000798828,0.000798828,0.000798828
4,11342.2,2.05296,2.66385,1.78585,0.61475,0.13238,0.1168,0.0376,2.14029,2.77586,2.02219,0.00078352,0.00078352,0.00078352
5,44609.2,2.01202,2.50062,1.76811,0.69671,0.10741,0.10694,0.04196,2.03561,2.71466,1.88938,0.000767026,0.000767026,0.000767026
6,46578.4,1.96304,2.40184,1.73184,0.67536,0.13816,0.12891,0.05026,2.07231,2.62296,1.93003,0.000750533,0.000750533,0.000750533
7,48372.2,1.95798,2.32856,1.71367,0.67279,0.15022,0.13265,0.05515,2.00307,2.41475,1.82809,0.00073404,0.00073404,0.00073404
8,50432.3,1.92998,2.30124,1.70076,0.68667,0.15389,0.15099,0.06195,1.98445,2.33489,1.7799,0.000717546,0.000717546,0.000717546
9,52924.3,1.92466,2.2496,1.68925,0.52489,0.19492,0.15584,0.06653,2.00286,2.28814,1.85551,0.000701053,0.000701053,0.000701053
10,55120.2,1.89037,2.20453,1.65146,0.70781,0.16688,0.16797,0.07072,1.9657,2.23501,1.77272,0.000684559,0.000684559,0.000684559
11,56903.5,1.86442,2.17019,1.63695,0.71584,0.17392,0.17771,0.07723,1.94343,2.23638,1.73539,0.000668066,0.000668066,0.000668066
12,59104.4,1.84761,2.11228,1.61999,0.72021,0.17721,0.18809,0.07935,1.91531,2.20096,1.74887,0.000651573,0.000651573,0.000651573
13,60912.6,1.83096,2.07797,1.60893,0.57014,0.24955,0.20171,0.08311,1.94994,2.13556,1.78632,0.000635079,0.000635079,0.000635079
14,62830.7,1.80929,2.04637,1.59094,0.59055,0.21379,0.1826,0.07976,1.93985,2.20432,1.78696,0.000618586,0.000618586,0.000618586
15,64869.8,1.80383,2.01283,1.58779,0.64687,0.25668,0.23219,0.09741,1.91718,2.05109,1.72052,0.000602092,0.000602092,0.000602092
16,67161.5,1.8072,1.99472,1.58837,0.61418,0.2252,0.2143,0.0971,1.8737,2.07428,1.70844,0.000585599,0.000585599,0.000585599
17,69057.7,1.79794,1.98471,1.57537,0.65134,0.23633,0.22364,0.09488,1.93321,2.12957,1.74714,0.000569106,0.000569106,0.000569106
18,70659.8,1.78134,1.96926,1.56985,0.7357,0.19117,0.2042,0.08774,1.90379,2.15252,1.75496,0.000552612,0.000552612,0.000552612
19,72688,1.76879,1.92444,1.56307,0.61493,0.25568,0.22943,0.10299,1.88596,1.99202,1.73692,0.000536119,0.000536119,0.000536119
20,75180.4,1.75317,1.91597,1.5574,0.74523,0.18808,0.23399,0.11012,1.90059,1.93907,1.69475,0.000519625,0.000519625,0.000519625
21,76963.1,1.75729,1.90272,1.54522,0.65894,0.25695,0.25776,0.12161,1.83616,1.93361,1.67716,0.000503132,0.000503132,0.000503132
22,78474,1.74289,1.86454,1.54851,0.65705,0.25857,0.23808,0.10702,1.87765,1.98971,1.71319,0.000486639,0.000486639,0.000486639
23,80001,1.73222,1.84477,1.5395,0.63615,0.26752,0.24487,0.11056,1.88468,1.93057,1.71405,0.000470145,0.000470145,0.000470145
24,91990.7,1.72292,1.83341,1.52675,0.65467,0.26835,0.2471,0.114,1.88258,1.92188,1.68562,0.000453652,0.000453652,0.000453652
25,116915,1.71856,1.81958,1.51732,0.66049,0.23988,0.25291,0.11291,1.8681,1.89419,1.68591,0.000437158,0.000437158,0.000437158
26,121456,1.70988,1.80627,1.51959,0.6491,0.27044,0.25849,0.11543,1.86671,1.8966,1.69273,0.000420665,0.000420665,0.000420665
27,125291,1.69009,1.74787,1.49417,0.69234,0.28433,0.30715,0.13976,1.81783,1.83438,1.65778,0.000404172,0.000404172,0.000404172
28,128956,1.69529,1.75115,1.49278,0.53361,0.26598,0.27616,0.11919,1.84768,1.84978,1.66459,0.000387678,0.000387678,0.000387678
29,132608,1.66444,1.72056,1.48462,0.68957,0.27637,0.2904,0.13198,1.83161,1.81791,1.66691,0.000371185,0.000371185,0.000371185
30,136217,1.67798,1.70751,1.48401,0.7189,0.25587,0.29749,0.13874,1.80837,1.78919,1.63537,0.000354691,0.000354691,0.000354691
31,138470,1.65545,1.7154,1.47121,0.55432,0.28495,0.29053,0.13333,1.82871,1.7972,1.65878,0.000338198,0.000338198,0.000338198
32,140346,1.64338,1.66091,1.46102,0.57658,0.29828,0.30664,0.14055,1.81492,1.77065,1.63786,0.000321705,0.000321705,0.000321705
33,142543,1.63516,1.66686,1.46284,0.58109,0.28035,0.2857,0.1309,1.81979,1.77247,1.64221,0.000305211,0.000305211,0.000305211
34,144517,1.63703,1.61795,1.44897,0.60097,0.27876,0.31324,0.1353,1.82486,1.73511,1.64762,0.000288718,0.000288718,0.000288718
35,146266,1.64173,1.62569,1.44472,0.71301,0.28557,0.30023,0.14073,1.81495,1.7062,1.63553,0.000272224,0.000272224,0.000272224
36,148109,1.62067,1.61115,1.44772,0.54885,0.29613,0.30207,0.14002,1.82773,1.75478,1.63485,0.000255731,0.000255731,0.000255731
37,150924,1.61526,1.5824,1.43787,0.70835,0.29781,0.3387,0.15363,1.81153,1.70594,1.62944,0.000239238,0.000239238,0.000239238
38,152785,1.58297,1.55874,1.42218,0.61481,0.31604,0.33808,0.15695,1.78939,1.67041,1.62015,0.000222744,0.000222744,0.000222744
39,154756,1.60146,1.54719,1.43151,0.59133,0.31675,0.32853,0.15169,1.81045,1.68661,1.62717,0.000206251,0.000206251,0.000206251
40,156532,1.5823,1.53995,1.41946,0.60822,0.30159,0.33408,0.15848,1.79041,1.66904,1.62756,0.000189757,0.000189757,0.000189757
41,158736,1.6142,1.4418,1.44569,0.58315,0.29739,0.31854,0.14649,1.79563,1.66001,1.614,0.000173264,0.000173264,0.000173264
42,160470,1.58733,1.40157,1.42101,0.59412,0.29724,0.33113,0.15648,1.80542,1.65597,1.62526,0.000156771,0.000156771,0.000156771
43,162276,1.58651,1.38217,1.42306,0.62172,0.28394,0.33133,0.1578,1.79493,1.61462,1.61327,0.000140277,0.000140277,0.000140277
44,164358,1.57481,1.34707,1.41544,0.6111,0.3039,0.33301,0.15485,1.80655,1.64109,1.62451,0.000123784,0.000123784,0.000123784
45,166593,1.55165,1.32335,1.39921,0.584,0.32539,0.32998,0.15424,1.80205,1.60247,1.62448,0.00010729,0.00010729,0.00010729
46,168130,1.5416,1.30766,1.39754,0.59965,0.31555,0.3421,0.15973,1.79924,1.5966,1.62763,9.0797e-05,9.0797e-05,9.0797e-05
47,169634,1.53597,1.29942,1.39556,0.61444,0.30667,0.34909,0.16372,1.80566,1.58534,1.62772,7.43036e-05,7.43036e-05,7.43036e-05
48,171071,1.52744,1.27377,1.37907,0.62366,0.30553,0.33936,0.16051,1.80043,1.57697,1.62696,5.78102e-05,5.78102e-05,5.78102e-05
49,172446,1.51383,1.26056,1.37239,0.60854,0.31687,0.3507,0.16193,1.80899,1.59813,1.63114,4.13168e-05,4.13168e-05,4.13168e-05
50,173913,1.51013,1.2451,1.37126,0.59555,0.31957,0.34562,0.16206,1.8052,1.58129,1.6252,2.48234e-05,2.48234e-05,2.48234e-05
